Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Hommelfjell, Norway",Norway,1956,Nov,Wednesday,Braathens,Trondheim - Oslo,de Havilland DH-114 Heron 2B,12.0,2.0,0.0,10.0,2.0,12.0,"The aircraft took off, experienced icing, lost altitude and crashed into Hommelfjell Mountain. Unusually heavy icing which the aircraft encountered. Severe downdraft immediately prior to the crash may have been a contributing factor."
"Puerto Somoza, Nicaragua",Nicaragua,1956,Nov,Thursday,Aerovias Guest,Tocumen - Guatemala City,Douglas C-54A-10-DC,25.0,25.0,0.0,0.0,25.0,25.0,An unsuccessful belly landing was attempted on flat terrain following a fire in the fuel system.
"El Rucio Mountain, Colombia",Colombia,1956,Nov,Saturday,Empresa Aviacion del Pacifico,Buenaventura - Cali,Douglas DC-3,36.0,36.0,0.0,0.0,36.0,36.0,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route."
"Paris, France",France,1956,Nov,Saturday,Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas DC-6B,35.0,34.0,8.0,1.0,42.0,43.0,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed."
"Near Eglisau, Switzerland",Switzerland,1956,Nov,Saturday,Ceskoslovenske Aerolinie,Eglisau - Prague,Ilyushin IL-12B,23.0,23.0,0.0,0.0,23.0,23.0,Crashed into a field shortly after taking off about 12 km north of the airport.
"Caracas, Venezuela",Venezuela,1956,Nov,Tuesday,Linea Aeropostal Venezolana,New York - Caracas,Lockheed 749-79-34 Constellation,25.0,25.0,0.0,0.0,25.0,25.0,"Struck Silla de Caracas Mountain at 6,700 feet while approaching to land at Maiquetia. Navigation error. The pilot did not follow prescribed approach procedures. St. Louis Cardinal outfielder, Charlie Peete, 27, killed."
"Caqueta, Colombia",Colombia,1956,Dec,Saturday,AIDA,Bogota - Medellin - Quibdo,Consolidated PBY-5A Catalina,16.0,14.0,0.0,2.0,14.0,16.0,"The starboard engine failed shortly after takoff and  the plane crash into Quetame Hill, 25km northwest of Santa Cecilia  Airport. Complete failure of the starboard engine due to the breakdown of the lubricating system. Recklessness of the pilot in taking off from a closed airport while aware of the poor weather conditions. The aircraft was also overloaded."
"Near Chilliwack, British Columbia, Canada",Canada,1956,Dec,Sunday,Trans Canada Air Lines,Vancouver - Calgary - Toronto - Montreal,Canadair DC-4M-2 Northstar,62.0,62.0,0.0,0.0,62.0,62.0,"The aircraft departed Vancouver en route to Calgary. Some 50 minutes later the pilot reported a fire in the No. 2 engine and was turning back. While flying under the power of 3 engines, the aircraft encountered severe icing, turbulence or other difficulty which led to the loss of control by the crew. It could not be determined why the aircraft was 12 miles south of the assigned airway. The plane crashed high into Mount Slesse. The bodies and wreckage were not found until 05/12/1957 and the wreckage still remains at the site which is now a memorial."
"Dannemois, France",France,1956,Dec,Wednesday,Air France,Training,Vickers 708 Viscount,5.0,5.0,0.0,0.0,5.0,5.0,Crashed in a steep angle of attack.
"Grub, Germany",Germany,1956,Dec,Saturday,JAT Yugoslav Airlines,Wien - Munchen,Convair CV-340-58,30.0,3.0,0.0,27.0,3.0,30.0,"The co-pilot acting as pilot-in-command and under the instruction of the captain began a descent to land until the aircraft hit the ground, left wing first. Both wings detached and the fuselage slid 1,200 feet."
"Mt. Giner, Italy",Italy,1956,Dec,Saturday,Linee Aeree Italiane,Rome - Milan,Douglas DC-3,21.0,21.0,0.0,0.0,21.0,21.0,The aircraft strayed off the assigned airway and hit a mountain. The pilot did not follow the airways assigned in the flight plan. He did not check his direction and position along the new route. Pilot error.
"Dhahran, Saudi Arabia",Saudi Arabia,1956,Dec,Monday,Military - U.S. Air Force,Charleston - Hamilton - Horta - Lisbon - Tripoli - Dhahran,Lockheed C-121C Super Constellation,38.0,12.0,0.0,26.0,12.0,38.0,Crashed and burned while attempting to land in heavy fog at night.
"Owasso, Oklahoma",USA,1957,Jan,Sunday,American Airlines,Joplin - Owasso,Convair CV-240-0,10.0,1.0,0.0,9.0,1.0,10.0,"Struck trees, hit the ground, and slid 500 ft. after landing short of the runway in rapidly deteriorating condtions.  The captain's lack of alertness in allowing the first officer to continue an instrument descent to an altitude too low to permit terrain clearance."
"Near Buenos Aires, Argentina",Argentina,1957,Jan,Friday,Lineas Aereas del Estado,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,33.0,17.0,1.0,16.0,18.0,34.0,The domestic flight crashed and burned immediately after takeoff from Buenos Aires after overrunning the runway. Too short a runway and excessive cross-winds for the type of aircraft.
"Ometepe Island, Nicaragua",Nicaragua,1957,Jan,Wednesday,Lanica,San Carlos - Managua,Douglas DC-3,16.0,16.0,0.0,0.0,16.0,16.0,"The aircraft hit Concepcion volcano while en route. The aircraft made a left turn towards the volcano, banked sharply in descent, enered a rapid climb and then crashed. Unexplained loss of control."
"Paris, France",France,1957,Jan,Tuesday,Air France,Tunis - Paris,SNCASE SE.2010 Armagnac,70.0,2.0,0.0,68.0,2.0,70.0,"A first ILS attempt to land at Orly Airport failed. The crew decided to try a second time with GCA guidance. Full power was applied when the crew was not able to see the runway. The aircraft continued to descend impacting the ground in a right bank. The right wing separated and the main fuselage broke-up into four parts. Stalling, as a result of delayed application of power in a final approach configuration and inadequate control of heading, airspeed and altitude after the visual was lost."
"Near Sunland, California",USA,1957,Jan,Thursday,Douglas Aircraft,Santa Monica - Santa Monica,Douglas DC-7B / U.S. Air Force F-89J,6.0,5.0,3.0,1.0,8.0,9.0,"Midair collision between a DC-7 and F-89J Air Force fighter. The DC-7 crashed into a playground of a school  killing 3 junior high school children 3 miles northwest of Sunland. The F-89 crashed into the mountains. Four crew members on the DC-7 were killed. One crew member aboard the F-89 was killed and  the other ejected to safety. The high rate of near head-on closure at high altitude, which together with physiological limitations, resulted in a minimum avoidance opportunity during which the pilots didn't see each other's aircraft. It was the first test flight of the DC-7B. One of the 3 students killed in the accident was the best friend of singer Richie Valens, who died in an airplane crash two years later. Archie Twitchell, test pilot and actor, 50, killed. The high rate of near head-on closure at high altitude in a minimum aviodance opportunity during which both pilots did not see the other aircraft."
"New York, New York",USA,1957,Feb,Friday,Northeast Airlines,New York City - Miami,Douglas DC-6A,101.0,21.0,0.0,80.0,21.0,101.0,"Shortly after lifting off from La Guardia Airport in a snowstorm, the plane rolled sharply to the left and crashed on Rikers Island. The failure of the captain to properly observe and interpret his flight instruments and maintain control of his aircraft. Several inmates from the Rikers Island Prison made some heroic rescues and were later pardoned."
"Kimpo Air Base, South Korea",South Korea,1957,Feb,Friday,Military - U.S. Air Force,"Kimpo AB - Tokyo, Japan",Douglas C-124C,159.0,22.0,0.0,137.0,22.0,159.0,"The No. 3 engine seized, causing the propellor to come loose and slice through the side  of the fuselage makng two full turns before exiting. It took two men out with it , idled the No. 4 engine and cut the throttle cable.  While  attempting  an emergency return landing at Kimpo Air Base, level flight could not be maintained and the aircraft descended, crashing into the Han River."
"Blyn, Washington",USA,1957,Mar,Saturday,Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,5.0,5.0,0.0,0.0,5.0,5.0,"Crashed into a densly wooded mountain, 3 miles east of Blyn, while en route to Seattle. Navigation error and poor judgement by the pilot in entering an overcast mountainous area at too low an altitude."
"Near Miho AB, Japan",Japan,1957,Mar,Monday,Japanese Air Force,No Data,Curtiss C-46D-15--CU,17.0,17.0,0.0,0.0,17.0,17.0,"While attempting to land, the plane lost air speed and crashed into the sea, 400 yards offshore."
"Drayton, England",England,1957,Mar,Tuesday,Military -Royal Air Force,Drayton - Multa,Blackburn Beverley C Mark 1,22.0,18.0,2.0,4.0,20.0,24.0,The aircraft crashed into trees and farm buildings about a half-an-hour after taking off from Abingdon airfield.  Fuel starvation due to an valve being installed backwards.
"El Soldado, Colombia",Colombia,1957,Mar,Saturday,AVIANCA,Condoto - Buenaventura - Cali,Douglas DC-3,15.0,15.0,0.0,0.0,15.0,15.0,Crashed into mountains  located 32 km west of Tuluá while en route. Pilot did not follow prescribed route nor follow prescribed IFR procedures.
"Manchester, England",England,1957,Mar,Thursday,British European Airways,Amsterdam - Manchester,Vickers Viscount 701,20.0,20.0,2.0,0.0,22.0,22.0,"The plane suddenly veered and banked to the right while making an approach to land. The plane crashed into houses. Fracture of a 9/16"" bolt on the starboard flap due to fatigue led to loss of control of the aircraft."
"Near Cebu, Philippines",Philippines,1957,Mar,Sunday,Military - Philippine Air Force,Cebu - Manila,Douglas C-47-A-75-DL Skytrain,25.0,24.0,0.0,1.0,24.0,25.0,"The plane had just taken off from Cebu bound  for Manila when it crashed 20 miles NW of the city. President Ramon Magsaysay, 50, of the Philippines died along with twenty-three others when the plane struck Mt. Manunggal. Magsaysay was on a campaigning trip for reelection. Metal fatigue."
"Near Sayari, Bolivia",Bolivia,1957,Mar,Monday,Lloyd Aereo Boliviano,Cochabamba - Oruro,Douglas DC-3,19.0,19.0,0.0,0.0,19.0,19.0,Crashed into Andies peak while en route. Wreckage found 100 miles northeast of Cochabamba.
Over the North Pacific Ocean,No Data,1957,Mar,Friday,Military - U.S. Air Force,Travis AFB - Tokyo,Boeing C-97C,67.0,67.0,0.0,0.0,67.0,67.0,"Disappeared in  a storm 200 miles southeast of Tokyo, Japan while on a flight from Travis Air Force Base to Tokyo.  Cause unknown."
"Bage, Brazil",Brazil,1957,Apr,Sunday,Varig,Bage - Porto Alegra,Curtiss C-46A-45-CU,40.0,40.0,0.0,0.0,40.0,40.0,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs."
"Algiers, Algeria",Algeria,1957,Apr,Monday,Air France,El Oued - Biskra - Alger - Marseille - Paris,Douglas DC-3,34.0,34.0,0.0,0.0,34.0,34.0,"Crashed just after takeoff, one mile from the airfield. Left engine failure."
"Anchieta Island, Brazil",Brazil,1957,Apr,Wednesday,REAL,Rio de Janerio - Sao Paulo,Douglas DC-3,30.0,26.0,0.0,4.0,26.0,30.0,"While en route, fire broke out in the starboard engine. As the plane lost altitude and because of reduced visibility, the pilot did not see the peak of a mountain. When he tried to pull up the plane stalled and crashed. Engine failure."
"Merida, Mexico",Mexico,1957,Apr,Monday,Transportes Aéreos Mexicanos,Medrida - Mexico City,Consolidated B-24J,3.0,3.0,1.0,0.0,4.0,4.0,The accident was due to a maneuvering error which consisted in making two turns onto the Mexico City heading without conforming the distance and procedure specifications and below the prescribed altitudes and speeds. This error was aggravated by a probable shifting of the load due to improper securing.
"Near El Quweira, Jordan",Jordan,1957,Apr,Wednesday,Military -Royal Air Force,"Aqaba AFB - Habbaniya, Iraq",Vickers Valetta C-Mk.1,24.0,24.0,0.0,0.0,24.0,24.0,Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.
"Blackbushe, Hants, England",England,1957,May,Wednesday,Eagle Aviation,Blackbushe - Tripoli,Vickers Viking 1B,35.0,34.0,0.0,1.0,34.0,35.0,Crashed while attemting an emergency return to the airport shortly after taking off. Engine failure. The failure of the captain to maintain height and a safe flying speed when approaching to land on one engine after the failure of the left engine for reasons unknown.
"Santoshpur, India",India,1957,May,Sunday,Indian Airlines,Silhcar - Calcutta,Douglas C-47A,3.0,1.0,0.0,2.0,1.0,3.0,"The accident is attributed to the insufficient altitude at which the aircraft was flown during an attempt to fly through a thunderstorm. Downdrafts and divergent winds encountered, forced the aircraft to the ground."
"Barajas, Madrid, Spain",Spain,1957,May,Thursday,Aviaco,Santiago de Compostella - Madrid,Bristol 170 Freighter,37.0,37.0,0.0,0.0,37.0,37.0,"Crashed while attemping to land. The aircraft hit the ground with the front part of the fuselage, the right wing and the right engine propeller and caught fire. Procedural errors by the pilot."
"Narsarressuak, Greenland",Greenland,1957,May,Monday,U.S. Overseas Airways,Broughton Island - Narsarsuaq,Douglas DC-4,3.0,2.0,0.0,1.0,2.0,3.0,Crashed into an ice cap. White-out conditions. Incorrect indication on navigation charts.
"New Delhi, India",India,1957,May,Monday,Indian Airlines,Training,Douglas DC-3,2.0,2.0,3.0,0.0,5.0,5.0,"During a training exercise the aircraft approached a stall entered a spin, partially recovered but crashed."
"Near San Carlos de Bariloche, Argentina",Argentina,1957,May,Monday,Lineas Aereas del Estado,San - Carlos,Vickers 615 Viking 1B,16.0,16.0,0.0,0.0,16.0,16.0,"The pilot lost in rain and fog searched for a landing area until the plane ran out of fuel and crashed into a 4,500 foot mountain."
"Near Moscow, Russia",Russia,1957,Jun,Friday,LOT Polish Airlines,Warsaw - Moscow,Ilyushin P-14,13.0,9.0,0.0,4.0,9.0,13.0,The aircraft descended below safe altitude and struck the ground in rain and poor visibility. The crew's application of an approach procedure other than that prescribed by the airport authority.
"Bodensee, Switzerland",Switzerland,1957,Jun,Tuesday,Swissair,Training,Douglas C-47B,9.0,9.0,0.0,0.0,9.0,9.0,"The stalling of the aircraft following a loss of airspeed, whereupon it unintentionally went into a spin and crashed into the water. In view of insufficient altitude, it was not possible to level off the aircraft."
"Near Clarksburg, Maryland",USA,1957,Jun,Saturday,Capital Airlines,Training,Douglas C-47A,3.0,3.0,0.0,0.0,3.0,3.0,"Loss of airspeed while executing maneuvers during a training flight, resulting in a stall followed immediately by a spin from an altitude too low to effect recovery."
"Port Hardy, BC, Canada",USA,1957,Jun,Sunday,Pacific Western,Port Hardy - Vancouver,Douglas DC-3,18.0,14.0,0.0,4.0,14.0,18.0,Crashed while attempting an emergency landing after taking off with control difficulties. Jammed elevator. Crew forgot to remove the ground locks.
"Bay of Bengal, Pakistan",Pakistan,1957,Jul,Monday,Pakistan International Airlines,Chittagong - Dhaka,Douglas DC-3,24.0,24.0,0.0,0.0,24.0,24.0,Went into a spin and cashed onto tidal flats off Charlakhi Island during a storm.
"Near Biak, Indonesia",Indonesia,1957,Jul,Tuesday,KLM Royal Dutch Airlines,Mokmer - Manila,Lockheed 1049C Super Constellation,68.0,58.0,0.0,10.0,58.0,68.0,"The pilot asked for clearance to make a low pass over Mokmer to give the passengers a final glimpse of the island. The plane gradually descended over the sea, crashed, burst into flames, broke apart and sank. Crew did not properly monitor their altitude."
"Near Hsinchu, Taiwan (Formosa)",Taiwan,1957,Jul,Tuesday,Military - United States Air Force,"Clark Field, Philippines - Taipei, Taiwan",Douglas C-47A-90 (DC-3),16.0,16.0,0.0,0.0,16.0,16.0,"The Air Foce transport was en route when it crashed at Mount Chaiopeng between, Hisinchu and Taipei."
"Daggett, California",USA,1957,Jul,Thursday,Western Airlines,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,16.0,1.0,0.0,15.0,1.0,16.0,"The plane landed safely after a dynamite bomb exploded in the rear lavatory. A passenger, Saul F. Binstock, 62, a retired North Hollywood jeweler, intent on suicide, detonated a bomb in the rear lavoratory blowing a 6 x 7 ft. hole in the fuselage. Binstock had purchased two insurance policies totaling $125,000 and then flew from Burbank to Las Vegas, where airport personnel at McCarran Field reported he never left the airport terminal. He then boarded the Western Airlines flight bound for Los Angeles and locked himself in the rear lavatory shortly after takeoff. Binstock’s body, missing several fingers on the left hand, was found the next day on a rugged peak in the Ord Mountains south of Daggett."
"Near Issoudun, Quebec, Canada",Quebec,1957,Aug,Sunday,Maritime Central Airways,Reykjavík - Montreal,Douglas DC-4,79.0,79.0,0.0,0.0,79.0,79.0,"The aircraft en route from Reykjavík to Montreal, Canada was flying at 6,000 ft. when it entered a  thunderstorm. Subsequently it plunged to earth almost vertically at a speed calculated at 230 mph, bursting into flames. Severe turbulence encountered while flying in a cumulonimbus cloud, resulting in a chain of events quickly leading up to a complete loss of control."
"Copenhagen, Denmark",Denmark,1957,Aug,Thursday,Aeroflot,Riga - Copenhagen,Ilyushin IL-14P,23.0,23.0,0.0,0.0,23.0,23.0,Crashed into the harbor after hitting the chimney of a factory. Crew error. ATC error.
"Assam, India",India,1957,Aug,Tuesday,Indamer,Supply mission,Douglas DC-3,8.0,8.0,0.0,0.0,8.0,8.0,While making a sharp turn the cargo plane stalled and crashed.
"Near Juticalpa, Honduras",Honduras,1957,Aug,Thursday,Sahsa Airlines,Catacamas - Juticalpa - Tegucigalpa,Douglas DC-3,12.0,12.0,0.0,0.0,12.0,12.0,Blew up and burned in flight after taking off.
"Niquitao, Venezuela",Venezuela,1957,Sep,Tuesday,Avensa,Maiquetia - Barinas,Douglas DC-3,8.0,8.0,0.0,0.0,8.0,8.0,Strayed off course and collided with a mountain in the Penas Blancas hills. Pilot error.  Weather's influence on radio communications. Leaving the prescribed route and flying at too low an altitude.
"New Bedford, Massachusetts",USA,1957,Sep,Sunday,Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,24.0,12.0,0.0,12.0,12.0,24.0,The aircraft struck trees to the right and short of the runway during approach in fog. The pilot attempted to make a visual approach by descending prematurely in the approach area without adherence to the prescribed ILS approach procedure which was dictated by existing weather conditions.
"Montevideo,  Uruguay",Uruguay,1957,Sep,Wednesday,REAL,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,35.0,1.0,0.0,34.0,1.0,35.0,"Flying VFR, the aircraft encountered fog during the approach, undershot the runway and crashed. Pilot error."
"Bhiwandi, Maharashtra, India",Maharashtra,1957,Sep,Friday,èkoda (India) Ltd,Bombay - Indore,Let Aero 45S,3.0,3.0,0.0,0.0,3.0,3.0,"While in it's initial climb, the ferry /positioning  flight crashed soon after."
"Islay-Glenegedale Airport, Scotland",Scotland,1957,Sep,Saturday,British European Airways,14099,de Havilland DH-114 Heron,3.0,3.0,0.0,0.0,3.0,3.0,"The pilot did not appreciate that the air ambulance had rapidly lost height whilst he was making a visual half circuit to land. This could not have been due to the absence of sufficient visual reference in the prevailing conditions of darkness, very low cloud and drizzle. The urgent nature of the flight is considered to have influenced the pilot's decision to land."
"Akshi, Russia",Russia,1957,Oct,Tuesday,Aeroflot,Irkutsk - Chita,Ilyushin IL-12,27.0,27.0,0.0,0.0,27.0,27.0,"While cruising by night, the crew lost his orientation and requested ATC assistance, without success. The airplane deviated from the prescribed flight path to the south and due to fuel exhaustion, the crew was forced to make an emergency landing. Following three unsuccessful attempts, the captain elected a fourth landing attempt when, at an altitude of 900 meters, the airplane clip trees, continued for about 340 meters and eventually crashed in a dense wooded area."
"Beirut, Lebanon",Lebanon,1957,Oct,Thursday,Lebanese International Airways,Beirut - Kuwait City,Curtiss C-46A-45-CU,27.0,27.0,0.0,0.0,27.0,27.0,"A few minutes after takeoff the crew informed ATC about a fire on board and elected to return. More than thirty minutes later, while at altitude of 2,000 meters, the aircraft lost height and crashed into the sea some 18 km off Beirut."
"Porto Alegre, Brazil",Brazil,1957,Oct,Friday,Varig,Porto Alegre - Sao Paulo,Douglas C-47A,2.0,2.0,0.0,0.0,2.0,2.0,"During the takeoff roll, the airplane started to skid and deviated from the centerline to the right. Incorrect use of flying controls during the takeoff roll.  Possible failure of left engine. Turbulent conditions close to ground."
"Belfast, Ireland",Ireland,1957,Oct,Wednesday,British European Airways,London - Belfast,Vickers 802 Viscount,7.0,7.0,0.0,0.0,7.0,7.0,"While attempting to land at Belfast, in poor weather, the plane drifted to the right of the runway, overshot the runway and crashed. Cause unknown."
"Madrid, Spain",Spain,1957,Oct,Monday,Iberia Airlines,Tanger - Madrid,Douglas DC-3,21.0,21.0,0.0,0.0,21.0,21.0,"Intense fire in the No.1 engine while en route, caused by foreign objects entering from the nacelle."
"Near Campeche, Mexico",Mexico,1957,Oct,Wednesday,Transportes Aereos Mexicanos,test flight,Fairchild C-82A,3.0,3.0,0.0,0.0,3.0,3.0,The cargo plane crashed en route.
"Dusseldorf, West Germany",Germany,1957,Nov,Sunday,Herfurtner Company,Düsseldorf - Reykjavik - New York,Douglas DC-4,10.0,7.0,1.0,3.0,8.0,11.0,"Crashed shortly after taking off. The aircraft plunged into the suburb of Derendorf, setting afire an office building and crushing a small house. The lone occupant of the the house, an elderly woman, was killed"
"Moscow, Russia",Russia,1957,Nov,Monday,TAROM,Bucharest - Kiev - Moscow,Ilushin Il-14,16.0,4.0,0.0,12.0,4.0,16.0,"The accident was the consequence of a succession of errors on part of the flying crew during the final approach that was continued at an insufficient altitude. The pilot-in-command took the decision to continue the approach procedure despite a warning message from ATC and because he established a visual contact with the runway lights. Due to low visibility and an insufficient height, this led the aircraft to struck trees and to crash."
"Bristol, England",England,1957,Nov,Wednesday,Bristol Aeroplane Co.,Test flight,Bristol Britannia 175,15.0,15.0,0.0,0.0,15.0,15.0,Crashed on a training flight. The right wing suddenly dropped and the aircraft went into a very steeply banked right hand turn and crashed. Instrument failure leading to loss of control. Undetermined cause. Possible failure of the auto-pilot.
"900 miles E of Honolulu, Hawaii, Pacific Ocean",USA,1957,Nov,Friday,Pan American World Airways,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,44.0,44.0,0.0,0.0,44.0,44.0,"The aircraft disappeared mid-way on a flight between San Francisco and Honolulu. Wreckage was found 940 miles NE of Honolulu 5 days later. Officially, the cause was never determined.  Possible in-flight fire. High levels of carbon monoxide were found in the 19 bodies that were recovered, though this could have resulted from exposure to seawater. The aircraft was named ""Clipper Romance of the Skies."""
"Chessell Down, England",England,1957,Nov,Friday,Aquilla Airways,thampton - Lisbon - Funchal,Short Solent 3 (flying boat),58.0,43.0,0.0,15.0,43.0,58.0,"The plane crashed into the face of a quarry between Chessel and Brook on the Isle of Wight. The last message transmitted from the aircraft was ""No. 4 engine feathered. Coming back in a hurry.""  Electrical failure or accidental cut-off of the fuel actuator circuit of the No. 3 and No. 4 engines."
"Near Palma de Mallorca, Spain",Spain,1957,Nov,Friday,Aviaco,Barcelona - Palma de Mallorca,de Havilland DH-114 Heron 2D,4.0,4.0,0.0,0.0,4.0,4.0,"The aircraft hit a mountain at 1,500 feet while on approach after the pilot turned the wrong way. Weather was rain and turbulence. Pilot error."
"Christchurch, New Zealand",New Zealand,1957,Nov,Thursday,Straits Air Freight Express,Paraparaumu - Timaru,Bristol 170 Freighter 31,4.0,4.0,0.0,0.0,4.0,4.0,The cargo plane lost a wing in flight and crashed into farmlands. In-flight structural fatigue failure of the starboard front lower spar boom.
"Bolivar, Argentina",Argentina,1957,Dec,Sunday,Aerolineas Argentinas,Buenos Aires - San Carlos,Douglas DC-4,61.0,61.0,0.0,0.0,61.0,61.0,The plane crashed during a storm. Left wing detached in extreme turbulence. The pilot descending on a track well below the minimum safety flight altitude established for this type of operation. The absence in the flight plan of a forecast showing the intensity of the meteorological phenomena encountered. Inadequate operational dispatch of the aircraft.
"Jeannine Lake, Quebec, Canada",Quebec,1957,Dec,Tuesday,Northern Wings,Seven Islands - Jeannine Lake,Douglas C-47A,10.0,3.0,0.0,7.0,3.0,10.0,Crashed during a landing attempt.
"Ozamis City, Philippines",Philippines,1957,Dec,Wednesday,Philippine Air Lines,Ozamis City - Pagadian,de Havilland Canada DHC-3 Otter,12.0,2.0,0.0,10.0,2.0,12.0,While taking off the plane stalled and hit trees. The uncontrollable stall at low altitude which resulted from the abrupt steep climb immediately after takeoff. Contributing factors were the improper loading of the aircraft and the prevailing gusty wind with a relatively high ambient temperature.
"Near Birobidzhan, Russia",Russia,1957,Dec,Wednesday,Aeroflot,Khabarovsk - Magdagachi - Irkutsk - Moscow,Ilyushin IL-12,27.0,27.0,0.0,0.0,27.0,27.0,"In June 1958 the aircraft was found on the northwest slope of Mount Poktoy 30 km west of Birobidzhan completely destroyed and burned. Crews, ATC error."
"Stansted, England",England,1957,Dec,Monday,Scottish Airlines,Malta - London,Avro 685 York C-1,4.0,4.0,0.0,0.0,4.0,4.0,The cargo plane crash landed short of the runway on the third landing attempt. The accident was due to an error on the part of the captain in that while making an attempt to land he continued the approach below the critical height without sufficient visual reference to the ground.
"Off Oahu, Hawaii",USA,1957,Dec,Monday,Military - U.S. Navy,No Data,Lockheed WV-2,23.0,19.0,0.0,4.0,19.0,23.0,"The aircraft lost all power during a simulated emergency maneuver and struck the water after descending from a altitude of 1,000 ft. One of the crew moved an emergency shut-off lever in the wrong direction depriving all four engines of their fuel supply. The plane hit the water and broke in two. It was ruled the check pilot had failed to initiate remedial action when the aircraft began to lose altitude and failed to exercise authority when the real emergency developed."
"Buenos Aires, Argentina",Argentina,1957,Dec,Tuesday,Aerolineas Argentinas,Buenos Aires - Rosario - Corrientes,Short Sunderland,50.0,9.0,0.0,41.0,9.0,50.0,The flying boat sank in Buenos Aires harbor while trying to make an emergency landing after losing an engine.
"Belem, Brazil",Brazil,1958,Jan,Thursday,Cruzeiro,No Data,Fairchild C-82A,3.0,3.0,0.0,0.0,3.0,3.0,"The cargo plane lost the No. 1 engine on takeoff, dove into the ground and crashed and burned."
"Near La Paz, Bolivia",Bolivia,1958,Jan,Monday,TAM (Bolivia),Tipuani - La Paz,Douglas DC-3,11.0,11.0,0.0,0.0,11.0,11.0,Crashed in mountainous terrain while en route.
"Rio de Janeiro, Brazil",Brazil,1958,Feb,Saturday,Loide Aéreo Nacional,Rio de Janerio - Fortaleza,Douglas DC-4,73.0,5.0,0.0,68.0,5.0,73.0,The plane abandoned the takeoff after an engine failed. The plane was unable to stop and slid off the runway striking rocks and catching fire. Failure of No. 4 engine. Malfunctioning of the starboard brakes.
"Norwalk, California",USA,1958,Feb,Saturday,Military - U.S.  Air Force / Military - U.S. Navy,Long Beach - McGuire AFB,Douglas C-118A / Lockheed P2V-5F,41.0,41.0,1.0,0.0,42.0,42.0,"The two aircraft collided at an altitude of 3,000 feet scattering wreckage over a residential and business area of suburban Los Angeles. The C-118 had just taken off from Long Beach Municipal Airport on a transcontinental flight and the P2V was on an instrument training exercise. All 41 killed on the C-118A, six on the P2V and one woman on the ground who was hit by debris outside her house. Pilot error, pilots of both aircraft."
"Munich, Germany",Germany,1958,Feb,Thursday,British European Airways,Belgrade - Munich - Manchester,Airspeed Ambassador AS-57,44.0,23.0,0.0,21.0,23.0,44.0,"The first takeoff attempt ended in an aborted takeoff due to engine boosting. This was not uncommon with this type of aircraft at higher altitudes and was usually caused the thrust being opened too fast. The second attempt to take off was aborted for the same reason. During the third attempt, as the plane passed V1 (committed to take off) the plane suddenly decelerated, never became airborne, crashed through the barrier fence, into a house and burst into flames. Eight members of the Manchester United football (soccer) team killed. A German inquiry concluded at an accumulation of ice on the wings was the cause of the accident, blaming the captain for not deicing the plane. Ten years later the British reopened the inquiry and concluded the accident was caused by slush on the last quarter of the runway. The reason other planes had taken off without incident was because they lifted in the air using only two thirds of the runway. The accident plane, because of the engine boosting, went further down the runway to take off. The aircraft was named ""Lord Burghley."""
"Mount Vesuvius, Italy",Italy,1958,Feb,Saturday,Military - US Air Force,Ramstein - Naples - Turkey,Douglas VC-47A,16.0,16.0,0.0,0.0,16.0,16.0,"Radio contact was lost with the military aircraft  thirty minutes after taking off from Naples after the crew reported en route at 6,500 feet and switching to the Rome ATC. The plane crashed on the northern slopes of Mt. Vesuvius."
"Raiatea, French Polynesia",French Polynesia,1958,Feb,Wednesday,Réseau Aérien Interinsulaire,"Papeete, French Polynesia - Raiatea",Consolidated PBY-5A  Catalina,15.0,15.0,0.0,0.0,15.0,15.0,Struck the water and sank after the right wing tip float contacted the water during a shallow turn for final approach.
